bin_centers,bin_edges_left,bin_edges_right,hist_mc,hist_ml
0.8515151515151516,0.85,0.853030303030303,0.0,0.0
0.8545454545454545,0.853030303030303,0.8560606060606061,0.0,0.0
0.8575757575757575,0.8560606060606061,0.859090909090909,0.00033048548317479373,0.0
0.8606060606060606,0.859090909090909,0.8621212121212121,0.00033048548317478164,0.0006610907998196983
0.8636363636363635,0.8621212121212121,0.8651515151515151,0.0,0.0
0.8666666666666667,0.8651515151515151,0.8681818181818182,0.0,0.0003305453999098492
0.8696969696969696,0.8681818181818182,0.8712121212121212,0.00033048548317478164,0.0009916361997295473
0.8727272727272728,0.8712121212121212,0.8742424242424243,0.0016524274158739082,0.0013221815996393967
0.8757575757575757,0.8742424242424243,0.8772727272727272,0.0016524274158739687,0.0019832723994591675
0.8787878787878787,0.8772727272727272,0.8803030303030303,0.0033048548317478163,0.0026443631992787934
0.8818181818181818,0.8803030303030303,0.8833333333333333,0.002313398382223471,0.0019832723994590946
0.8848484848484848,0.8833333333333333,0.8863636363636364,0.0042963112812721615,0.0033054539990984913
0.8878787878787879,0.8863636363636364,0.8893939393939394,0.009253593528893884,0.004958180998647737
0.8909090909090909,0.8893939393939394,0.8924242424242423,0.012888933843816956,0.008263634997746532
0.8939393939393938,0.8924242424242423,0.8954545454545454,0.015202332226039955,0.013552361396303813
0.896969696969697,0.8954545454545454,0.8984848484848484,0.023464469305409498,0.020824360194320494
0.8999999999999999,0.8984848484848484,0.9015151515151515,0.029743693485730346,0.02247708719386974
0.9030303030303031,0.9015151515151515,0.9045454545454545,0.045937482161294646,0.03338508539089476
0.906060606060606,0.9045454545454545,0.9075757575757575,0.05849593052193849,0.05387890018530738
0.909090909090909,0.9075757575757575,0.9106060606060605,0.07667263209654934,0.08065307757800318
0.9121212121212121,0.9106060606060605,0.9136363636363636,0.11566991911117357,0.10544398257124186
0.915151515151515,0.9136363636363636,0.9166666666666666,0.15532817709214738,0.1285821605649313
0.9181818181818182,0.9166666666666666,0.9196969696969697,0.20126565925344203,0.1837832423498761
0.9212121212121211,0.9196969696969697,0.9227272727272727,0.284548001013487,0.23171232533680425
0.9242424242424242,0.9227272727272727,0.9257575757575757,0.36221208955957396,0.33451194470877954
0.9272727272727272,0.9257575757575757,0.9287878787878787,0.45408705388215,0.4257424750838857
0.9303030303030302,0.9287878787878787,0.9318181818181818,0.593221442298733,0.5331697300545867
0.9333333333333333,0.9318181818181818,0.9348484848484848,0.767387291931843,0.7027395202083392
0.9363636363636363,0.9348484848484848,0.9378787878787879,0.9775760592310041,0.8769369459608298
0.9393939393939394,0.9378787878787879,0.9409090909090909,1.2264316280616145,1.1255070866930363
0.9424242424242424,0.9409090909090909,0.9439393939393939,1.5109796290751571,1.3919266790204257
0.9454545454545453,0.9439393939393939,0.9469696969696969,1.8993000718054702,1.7899033405118332
0.9484848484848485,0.9469696969696969,0.95,2.4029599481638373,2.195152000801308
0.9515151515151514,0.95,0.953030303030303,2.9819705146860547,2.7458406370511166
0.9545454545454546,0.953030303030303,0.956060606060606,3.5064509764844334,3.282315821104802
0.9575757575757575,0.956060606060606,0.959090909090909,4.2467384587960995,4.047197876496341
0.9606060606060605,0.959090909090909,0.962121212121212,5.090137411857987,4.8937246456653165
0.9636363636363636,0.962121212121212,0.9651515151515151,5.998642005105462,5.749176140632006
0.9666666666666666,0.9651515151515151,0.9681818181818181,7.078007593154298,6.730565432964348
0.9696969696969697,0.9681818181818181,0.9712121212121212,8.130934342549153,7.77773325987875
0.9727272727272727,0.9712121212121212,0.9742424242424241,9.154447883941787,8.7452396454152
0.9757575757575756,0.9742424242424241,0.9772727272727272,10.24571094938458,9.995362347873929
0.9787878787878788,0.9772727272727272,0.9803030303030302,11.294671872981336,10.971462913807711
0.9818181818181817,0.9803030303030302,0.9833333333333333,12.011494885987439,11.708248610206766
0.9848484848484849,0.9833333333333333,0.9863636363636363,12.685024300697643,12.35479541243043
0.9878787878787878,0.9863636363636363,0.9893939393939393,13.089538532104056,12.855571693294323
0.9909090909090907,0.9893939393939393,0.9924242424242423,13.283863996210348,13.12463564882047
0.9939393939393939,0.9924242424242423,0.9954545454545454,13.390280321792627,13.16793709620866
0.9969696969696968,0.9954545454545454,0.9984848484848484,13.131840673949949,13.091581108829486
1.0,0.9984848484848484,1.0015151515151515,12.719725276430996,12.799048429909268
1.003030303030303,1.0015151515151515,1.0045454545454544,12.328760949835681,12.546511744378602
1.0060606060606059,1.0045454545454544,1.0075757575757576,12.028019160145737,11.954835478539076
1.009090909090909,1.0075757575757576,1.0106060606060605,11.419925871104997,11.459017378675158
1.0121212121212122,1.0106060606060605,1.0136363636363637,10.716983248391427,10.9106425602239
1.0151515151515151,1.0136363636363637,1.0166666666666666,10.182257736615396,10.393669554765676
1.018181818181818,1.0166666666666666,1.0196969696969695,9.60225571364363,9.69687985175569
1.021212121212121,1.0196969696969695,1.0227272727272727,8.902287460278766,9.062893774727911
1.0242424242424242,1.0227272727272727,1.0257575757575756,8.261145622920319,8.438162968898938
1.0272727272727273,1.0257575757575756,1.0287878787878788,7.665610782238779,7.927139780637711
1.0303030303030303,1.0287878787878788,1.0318181818181817,7.024799430363415,7.199609355436688
1.0333333333333332,1.0318181818181817,1.0348484848484847,6.482472752473579,6.672058897180549
1.0363636363636362,1.0348484848484847,1.0378787878787878,5.876031890847402,6.139219712525404
1.0393939393939393,1.0378787878787878,1.0409090909090908,5.367745217725,5.5819201682778266
1.0424242424242425,1.0409090909090908,1.043939393939394,4.829053880149733,5.07221916161645
1.0454545454545454,1.043939393939394,1.0469696969696969,4.442055379352403,4.568798517554102
1.0484848484848484,1.0469696969696969,1.0499999999999998,4.026635127001687,4.161236039465243
1.0515151515151513,1.0499999999999998,1.053030303030303,3.5814711811649773,3.7774728301696174
1.0545454545454545,1.053030303030303,1.056060606060606,3.2192590916056654,3.434366705063458
1.0575757575757576,1.056060606060606,1.059090909090909,2.8603518568776303,3.017879501176812
1.0606060606060606,1.059090909090909,1.062121212121212,2.576464826830692,2.7527820904493243
1.0636363636363635,1.062121212121212,1.065151515151515,2.2780364355238536,2.3994290579456825
1.0666666666666664,1.065151515151515,1.0681818181818181,2.0595855311451636,2.1825912756046537
1.0696969696969696,1.0681818181818181,1.071212121212121,1.8034592816848496,1.9700505834627728
1.0727272727272728,1.071212121212121,1.0742424242424242,1.6263190627030408,1.6907397205388164
