bin_centers,bin_edges_left,bin_edges_right,hist_mc_bkg,hist_mc_sig,hist_ml_bkg,hist_ml_sig,ratio_bkg
0.01020408163265306,0.0,0.02040816326530612,1.6946229486631368,0.16560209151115937,1.5145334615384618,0.16560209151115937,0.8937288750475467
0.030612244897959183,0.02040816326530612,0.04081632653061224,1.3290465237300237,0.2502603412768865,1.2023657692307694,0.2502603412768865,0.9046829796870319
0.05102040816326531,0.04081632653061224,0.061224489795918366,1.2522836266416981,0.30436296307475735,1.1580396153846153,0.30436296307475735,0.9247422794228964
0.07142857142857142,0.061224489795918366,0.08163265306122448,1.2300074092846272,0.35552431155339026,1.1513492307692312,0.35552431155339026,0.9360506465882644
0.09183673469387754,0.08163265306122448,0.1020408163265306,1.2436575169417263,0.39797949100707836,1.1596980769230774,0.39797949100707836,0.9324899026661992
0.11224489795918366,0.1020408163265306,0.12244897959183673,1.222537767038936,0.44298937642947583,1.1658230769230764,0.44298937642947583,0.9536090486159572
0.13265306122448978,0.12244897959183673,0.14285714285714285,1.2305003298389112,0.47951158741635813,1.178676153846154,0.47951158741635813,0.9578836553424235
0.15306122448979592,0.14285714285714285,0.16326530612244897,1.217703353910381,0.5174456095964746,1.1845184615384619,0.5174456095964746,0.9727479666822356
0.173469387755102,0.16326530612244897,0.18367346938775508,1.2083757803446966,0.5502366052869518,1.1902100000000004,0.5502366052869518,0.9849667788446452
0.19387755102040816,0.18367346938775508,0.2040816326530612,1.208717033036124,0.5796493384793326,1.1926223076923081,0.5796493384793326,0.9866844555806512
0.21428571428571425,0.2040816326530612,0.22448979591836732,1.2121106014675418,0.6136168434975051,1.1898519230769233,0.6136168434975051,0.9816364295769139
0.2346938775510204,0.22448979591836732,0.24489795918367346,1.1909718930818936,0.6400378815423172,1.187797692307691,0.6400378815423172,0.9973347811206621
0.2551020408163265,0.24489795918367346,0.26530612244897955,1.19173023239618,0.6732490591355446,1.1860261538461558,0.6732490591355446,0.9952136159720013
0.2755102040816326,0.26530612244897955,0.2857142857142857,1.1801465993704998,0.6918715210653472,1.1743792307692296,0.6918715210653472,0.9951130066346447
0.29591836734693877,0.2857142857142857,0.3061224489795918,1.1770374081819415,0.7155193585520234,1.166237692307694,0.7155193585520234,0.9908246621567205
0.31632653061224486,0.3061224489795918,0.32653061224489793,1.1556522395191497,0.7434530514467284,1.1581903846153834,0.7434530514467284,1.0021962879570845
0.336734693877551,0.32653061224489793,0.3469387755102041,1.153661598819156,0.7715043952742048,1.1493515384615371,0.7715043952742048,0.9962640167948464
0.3571428571428571,0.3469387755102041,0.36734693877551017,1.1330158109877968,0.788513358697458,1.1432642307692327,0.788513358697458,1.0090452575171929
0.37755102040816324,0.36734693877551017,0.3877551020408163,1.1263045080563867,0.8094720320065408,1.127282692307691,0.8094720320065408,1.000868490043596
0.3979591836734694,0.3877551020408163,0.4081632653061224,1.1151190031707114,0.8325652293815896,1.1187830769230787,0.8325652293815896,1.0032858141076861
0.4183673469387755,0.4081632653061224,0.42857142857142855,1.090567767870787,0.8547340265705875,1.1093411538461526,0.8547340265705875,1.0172143231520756
0.43877551020408156,0.42857142857142855,0.44897959183673464,1.0932788309193529,0.8748523360741784,1.1028203846153863,0.8748523360741784,1.0087274658817
0.4591836734693877,0.44897959183673464,0.4693877551020408,1.0648790235994408,0.9046684438931953,1.087592692307691,0.9046684438931953,1.0213298113728213
0.47959183673469385,0.4693877551020408,0.4897959183673469,1.05663208355661,0.9279969431337809,1.0766430769230757,0.9279969431337809,1.0189384684393727
0.5,0.4897959183673469,0.5102040816326531,1.0453328277737894,0.9584013056166476,1.0726853846153834,0.9584013056166476,1.0261663616743442
0.5204081632653061,0.5102040816326531,0.5306122448979591,1.0238718251795782,0.9708050753857826,1.057947692307697,0.9708050753857826,1.0332813798466836
0.5408163265306122,0.5306122448979591,0.5510204081632653,1.0206678415767256,1.0067558389849218,1.0422111538461527,1.0067558389849218,1.0211070745955384
0.5612244897959183,0.5510204081632653,0.5714285714285714,1.0145252931310311,1.0314961494187416,1.029131923076922,1.0314961494187416,1.0143975020088576
